CustomerID,InvoiceNo,UnitPrice,Quantity,InvoiceDate,Country
1,1001,11.087521520755795,29.0,2022-01-23,Palau
1,1002,12.199651407612267,37.0,2022-03-16,Georgia
2,1003,6.493275363907894,38.0,2022-08-19,Russian Federation
2,1004,10.521084366161272,31.0,2022-06-24,Vanuatu
3,1005,10.124396419280162,33.0,2022-11-20,Papua New Guinea
3,1006,10.112208485923281,29.0,2022-05-25,Holy See (Vatican City State)
4,1007,8.66251373494859,31.0,2022-04-27,Botswana
4,1008,12.000968291781023,21.0,2022-01-27,Malawi
5,1009,10.805791021998134,33.0,2022-02-25,South Georgia and the South Sandwich Islands
5,1010,7.28551316582232,42.0,2022-01-01,Qatar
6,1011,9.377867370934434,38.0,2022-05-20,Guatemala
6,1012,10.029558022018099,33.0,2022-05-08,Bhutan
7,1013,9.287261259956018,40.0,2022-05-28,Mali
7,1014,12.888392072382583,24.0,2022-01-31,Tonga
8,1015,5.816599585138908,42.0,2022-01-11,Senegal
8,1016,13.01619888142777,23.0,2022-12-09,Haiti
9,1017,6.207764217347096,40.0,2022-07-24,Mali
9,1018,9.19814312817976,31.0,2022-11-24,El Salvador
10,1019,10.281599613531085,30.0,2022-03-13,Jordan
10,1020,11.267199893016365,25.0,2022-01-31,Guyana
11,1021,9.714504838031228,30.0,2022-09-27,Lithuania
11,1022,12.643757751652517,26.0,2022-07-30,Samoa
12,1023,10.353675534893071,30.0,2022-10-27,Micronesia
12,1024,8.271356645968696,33.0,2022-05-02,Yemen
13,1025,9.593354548829362,35.0,2022-10-08,United States Virgin Islands
13,1026,13.15391453990066,25.0,2022-12-08,Bermuda
14,1027,13.165631969725695,19.0,2022-10-05,Solomon Islands
14,1028,5.4634216252894605,47.0,2022-08-09,Kiribati
15,1029,9.057894152838092,26.0,2022-05-14,Maldives
15,1030,10.536136237113844,26.0,2022-06-09,Botswana
16,1031,9.422725936658686,28.0,2022-12-07,Senegal
16,1032,8.873866606786088,34.0,2022-08-01,Saint Barthelemy
17,1033,11.853987636913487,32.0,2022-11-10,Hong Kong
17,1034,10.914239621793175,26.0,2022-10-03,Malta
18,1035,9.156335613684133,25.0,2022-08-15,Norfolk Island
18,1036,10.30665105252974,34.0,2022-12-06,Nauru
19,1037,13.251792586302802,23.0,2022-05-26,Malawi
19,1038,12.17378218938185,29.0,2022-10-16,Switzerland
20,1039,9.767564477465706,23.0,2022-10-03,Turks and Caicos Islands
20,1040,13.300186264261525,23.0,2022-09-17,Monaco
21,1041,8.309121565239066,29.0,2022-01-27,Kyrgyz Republic
21,1042,9.011340318624367,32.0,2022-03-05,China
22,1043,12.179242725787516,21.0,2022-11-03,French Southern Territories
22,1044,9.945924643986729,35.0,2022-06-23,Netherlands
23,1045,11.567084934238718,24.0,2022-02-11,Reunion
23,1046,11.853779622632382,33.0,2022-02-05,Qatar
24,1047,10.830463694567444,24.0,2022-05-17,Bermuda
24,1048,10.72979169212904,31.0,2022-10-01,Colombia
25,1049,10.7200185196031,21.0,2022-12-14,Gibraltar
25,1050,7.239611647700565,41.0,2022-03-29,Timor-Leste
26,1051,7.169384477180444,41.0,2022-09-28,Montserrat
